amount,hour,num_tx_past_day
3200.0,23,5
1850.0,1,8
2400.0,22,7
75.0,10,2
42.5,14,1
3100.0,0,9
22.0,9,1
950.0,2,6
34.14,21,6
93.93,23,8
34.35,8,4
34.27,19,3
69.54,16,9
8.06,16,3
9.73,19,9
31.12,11,2
19.83,6,2
74.76,1,2
22.02,2,6
13.3,16,3
236.43,4,9
43.56,16,4
58.41,23,1
13.13,16,4
31.68,16,1
61.0,1,5
17.27,1,4
79.5,21,8
29.94,22,8
40.78,4,7
29.91,0,3
348.03,0,1
53.87,18,1
18.96,1,11
124.28,20,3
16.11,11,6
67.28,5,7
7.69,22,6
14.47,3,6
66.48,22,6
114.26,10,3
64.8,23,6
48.64,16,8
40.4,5,11
12.45,23,11
26.58,4,2
34.44,19,5
157.14,1,1
76.99,5,1
9.36,21,5
75.5,10,3
37.15,15,4
27.75,15,3
100.65,0,1
153.09,8,1
138.56,5,5
23.59,15,6
40.08,2,3
76.04,19,9
144.83,3,5
33.81,18,8
45.35,2,1
18.06,18,5
16.51,19,3
123.04,6,1
211.93,19,4
50.8,8,5
148.94,0,7
78.39,7,1
28.64,6,3
78.37,17,2
254.18,7,9
52.68,0,10
261.03,10,6
3.98,17,10
124.2,22,3
59.56,9,8
40.49,2,8
59.85,6,2
7.48,15,6
43.83,15,7
78.03,19,2
239.34,16,11
32.52,1,10
24.33,0,2
33.06,15,10
136.37,11,1
75.85,4,8
32.14,4,1
91.22,22,9
60.16,8,11
143.83,8,6
27.06,2,7
39.34,18,10
36.89,15,7
12.64,15,10
73.41,2,3
70.88,19,2
54.88,23,9
43.18,21,8
