transaction_id,amount,hour,num_tx_past_day,is_fraud
TXN001,25.5,10,1,0
TXN002,120,14,3,0
TXN003,75.25,9,2,0
TXN004,3200,23,5,1
TXN005,45,11,2,0
TXN006,850,16,4,0
TXN007,15.75,8,1,0
TXN008,2500,1,8,1
TXN009,95,13,3,0
TXN010,60.5,15,2,0
TXN011,4100,2,9,1
TXN012,35,10,1,0
TXN013,180,17,4,0
TXN014,2900,22,7,1
TXN015,55.25,12,2,0
TXN016,310,14,3,0
TXN017,22,7,1,0
TXN018,1750,3,6,1
TXN019,88.75,16,2,0
TXN020,140,11,3,0
TXN021,3600,0,9,1
TXN022,42.5,9,1,0
TXN023,210,15,3,0
TXN024,68,13,2,0
TXN025,2700,23,6,1
TXN026,33.25,10,1,0
TXN027,490,18,4,0
TXN028,105,12,2,0
TXN029,4500,1,10,1
TXN030,27.5,8,1,0
TXN031,160,14,3,0
TXN032,72.25,16,2,0
TXN033,3100,22,8,1
TXN034,50,11,2,0
TXN035,225,13,3,0
TXN036,90.5,15,2,0
TXN037,1950,2,7,1
TXN038,18.75,9,1,0
TXN039,375,17,4,0
TXN040,130,12,2,0
TXN041,2850,23,7,1
TXN042,65,10,1,0
TXN043,240,14,3,0
TXN044,82.5,16,2,0
TXN045,3900,0,9,1
TXN046,29.99,8,1,0
TXN047,155,13,3,0
TXN048,520,18,5,0
TXN049,2250,3,6,1
TXN050,47.5,11,2,0
TXN051,195,15,3,0
TXN052,1050,17,4,0
TXN053,3300,22,8,1
TXN054,38,9,1,0
TXN055,275,14,3,0
TXN056,70.25,12,2,0
TXN057,4800,1,11,1
TXN058,24.5,7,1,0
TXN059,340,16,4,0
TXN060,115,10,2,0
TXN061,2600,23,7,1
TXN062,52.75,13,2,0
TXN063,185,15,3,0
TXN064,630,18,5,0
TXN065,3700,2,9,1
TXN066,31,8,1,0
TXN067,145.5,11,2,0
TXN068,420,14,4,0
TXN069,2150,0,7,1
TXN070,58.25,10,2,0
TXN071,230,16,3,0
TXN072,92,12,2,0
TXN073,2950,22,8,1
TXN074,36.75,9,1,0
TXN075,315,15,4,0
TXN076,780,17,5,0
TXN077,4250,3,10,1
TXN078,49.99,11,2,0
TXN079,205,13,3,0
TXN080,135,14,2,0
TXN081,3400,23,8,1
TXN082,28.5,8,1,0
TXN083,165,12,3,0
TXN084,550,16,4,0
TXN085,1850,1,6,1
TXN086,62,10,2,0
TXN087,290,15,3,0
TXN088,110,13,2,0
TXN089,3150,22,7,1
TXN090,41.25,9,1,0
TXN091,375,17,4,0
TXN092,145,11,2,0
TXN093,4600,2,10,1
TXN094,34.5,8,1,0
TXN095,215,14,3,0
TXN096,680,16,5,0
TXN097,2450,0,7,1
TXN098,57.75,12,2,0
TXN099,190,15,3,0
TXN100,3250,23,8,1
